"rgi_id","o1region","o2region","glims_id","anlys_id","subm_id","src_date","cenlon","cenlat","utm_zone","area_km2","primeclass","conn_lvl","surge_type","term_type","glac_name","is_rgi6","termlon","termlat","zmin_m","zmax_m","zmed_m","zmean_m","slope_deg","aspect_deg","aspect_sec","dem_source","lmax_m"
"RGI2000-v7.0-G-01-04070","01","01-02","G208063E62651N",396585,624,"2010-09-12T00:00:00",-151.93601599543837,62.6515965,5,0.150232509355064,0,0,0,9,"",1,-151.93187675292694,62.64967707249547,1429.6562,1715.5397,1576.6316,1576.0684,26.519545,116.29643,4,"COPDEM30",649
"RGI2000-v7.0-G-01-04071","01","01-02","G208069E62645N",396588,624,"2010-09-12T00:00:00",-151.93041010508574,62.64506,5,0.213637004384171,0,0,0,9,"",1,-151.9253235421298,62.64523500294782,1175.6392,1426.322,1240.5381,1254.5049,25.358387,72.96905,3,"COPDEM30",660
"RGI2000-v7.0-G-01-04072","01","01-02","G207886E62640N",396469,624,"2010-09-12T00:00:00",-152.11318674221698,62.640446,5,0.256124646356685,0,0,0,9,"",1,-152.1167411058143,62.643467611050674,1026.5194,1545.4789,1190.8423,1201.233,28.578573,325.47419357299805,8,"COPDEM30",844
"RGI2000-v7.0-G-01-04073","01","01-02","G207939E62675N",396434,624,"2010-09-12T00:00:00",-152.12588549794475,62.636971,5,0.195027416562169,0,0,0,9,"",1,-152.12919132329296,62.639241322247244,1078.6096,1404.2405,1229.4923,1227.9281,32.579327,329.9605865478516,8,"COPDEM30",556
"RGI2000-v7.0-G-01-04074","01","01-02","G207939E62675N",396434,624,"2010-09-12T00:00:00",-152.1203575,62.6306845,5,0.061213706724256,0,0,0,9,"",1,-152.11687871647678,62.62906905655808,1183.8727,1389.996,1244.4546,1251.1985,22.662437,100.527534,3,"COPDEM30",374
"RGI2000-v7.0-G-01-04075","01","01-02","G207872E62617N",396465,624,"2010-09-12T00:00:00",-152.13300175925926,62.6170665,5,5.044559245465646,0,0,0,9,"",1,-152.09661744840605,62.62062083067598,709.2436,1539.9738,1122.7147,1115.2428,17.461233,33.17664,2,"COPDEM30",3848
"RGI2000-v7.0-G-01-04076","01","01-02","G207873E62604N",396466,624,"2010-09-12T00:00:00",-152.12560152579186,62.604497,5,0.900853604265689,0,0,0,9,"",1,-152.13662914013207,62.60178477071533,885.0109,1372.2788,982.52014,1025.3276,16.08741,302.6319961547852,8,"COPDEM30",1491
"RGI2000-v7.0-G-01-04077","01","01-02","G207798E62617N",396405,624,"2010-09-12T00:00:00",-152.20065391692637,62.6172015,5,0.127276944151489,0,0,0,9,"",1,-152.19476535845746,62.61707175609584,1666.8186,2117.4487,1961.8097,1947.814,36.254128,47.78292,2,"COPDEM30",629
"RGI2000-v7.0-G-01-04078","01","01-02","G207795E62614N",396399,624,"2010-09-12T00:00:00",-152.2048607311508,62.6141475,5,0.120238213320496,0,0,0,9,"",1,-152.19957256686882,62.61304972673413,1782.8422,2165.7432,2027.3687,2014.2761,39.23519,129.92828,4,"COPDEM30",528
"RGI2000-v7.0-G-01-04079","01","01-02","G207791E62612N",396392,624,"2010-09-12T00:00:00",-152.20970330093314,62.6118825,5,0.063550552826103,0,0,0,9,"",1,-152.20645757284106,62.610420644363614,1848.4877,2160.2415,2051.5527,2031.293,41.05886,143.50728,4,"COPDEM30",372
"RGI2000-v7.0-G-01-04080","01","01-02","G207787E62610N",396387,624,"2010-09-12T00:00:00",-152.21420819463086,62.6105115,5,0.139743540815552,0,0,0,9,"",1,-152.2087758793121,62.60857193025569,1723.0186,2167.2246,2019.5498,1988.8944,38.379055,151.90399,4,"COPDEM30",548
"RGI2000-v7.0-G-01-04081","01","01-02","G207779E62611N",396381,624,"2010-09-12T00:00:00",-152.2208416147984,62.6111805,5,0.03428187268099,0,0,0,9,"",1,-152.2220606346169,62.61242809360176,1708.6968,2089.6926,1923.8623,1913.4678,56.393925,306.0941505432129,8,"COPDEM30",324
